"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"ClinicalDocument","ClinicalDocument","","","",1,1,"","","","null {[]} {[]}
","Base for all types and resources","Defines the basic properties of every data value. This is an abstract type, meaning that no value can be just a data value without belonging to any concrete type. Every concrete type is a specialization of this general abstract DataValue type.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","FRCDAPerformerRequire:performer est obligatoire et son attribut nullFlavor interdit pour l’évènement documenté principal {documentationOf.serviceEvent.performer.count() >= 1}
","n/a"
"ClinicalDocument.author","ClinicalDocument.author","","","",1,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/Author {[CanonicalType[https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-cda-author]]} {[]}
","Professionnel ou patient/usager ou système, auteur du document incluant la structure de rattachement de l'auteur.","","In some cases, the role or function of the author is inherent in the ClinicalDocument.code, such as where ClinicalDocument.code is 'Medical Student Progress Note'. The role of the author can also be recorded in the Author.functionCode or AssignedAuthor.code attribute. If either of these attributes is included, they should be equivalent to or further specialize the role inherent in the ClinicalDocument.code (such as where the ClinicalDocument.code is simply 'Physician Progress Note' and the value of Author.functionCode is 'rounding physician'), and shall not conflict with the role inherent in the ClinicalDocument.code, as such a conflict would constitute an ambiguous situation.","","","","","","","","",,,,,"",,,,"ClinicalDocument.author",1,*,"",""
"ClinicalDocument.dataEnterer","ClinicalDocument.dataEnterer","","Transcriptionist
","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/DataEnterer {[CanonicalType[https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-cda-data-enterer]]} {[]}
","Opérateur de saisie.","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.dataEnterer",0,1,"",""
"ClinicalDocument.informant","ClinicalDocument.informant","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/Informant {[CanonicalType[https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-cda-informant]]} {[]}
","Informateur (informant), ayant fourni des informations utiles aux actes en rapport avec la production du document.","An informant (or source of information) is a person that provides relevant information, such as the parent of a comatose patient who describes the patient's behavior prior to the onset of coma.","","","","","","","","","",,,,,"",,,,"ClinicalDocument.informant",0,*,"",""
"ClinicalDocument.custodian","ClinicalDocument.custodian","","","",1,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/Custodian {[CanonicalType[https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-cda-custodian]]} {[]}
","Structure conservant le document et garantissant son cycle de vie.","Represents the organization that is in charge of maintaining the document. The custodian is the steward that is entrusted with the care of the document. Every CDA document has exactly one custodian.","","The custodian participation satisfies the CDA definition of Stewardship. Because CDA is an exchange standard and may not represent the original form of the authenticated document, the custodian represents the steward of the original source document.","","","","","","","",,,,,"",,,,"ClinicalDocument.custodian",1,1,"",""
"ClinicalDocument.informationRecipient","ClinicalDocument.informationRecipient","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/InformationRecipient {[CanonicalType[https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-cda-information-recipient]]} {[]}
","Destinataire prévu du document.","","The information recipient is an entity to whom a copy of a document is directed, at the time of document authorship. It is not the same as the cumulative set of persons to whom the document has subsequently been disclosed, over the life-time of the patient. Such a disclosure list would not be contained within the document, and it outside the scope of CDA.","","","","","","","","",,,,,"",,,,"ClinicalDocument.informationRecipient",0,*,"",""
"ClinicalDocument.legalAuthenticator","ClinicalDocument.legalAuthenticator","","","",1,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/LegalAuthenticator {[CanonicalType[https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-cda-legal-authenticator]]} {[]}
","Professionnel ou patient/usager ou système responsable du document.","","The CDA is a standard that specifies the structure of exchanged clinical documents. In the case where a local document is transformed into a CDA document for exchange, authentication occurs on the local document, and that fact is reflected in the exchanged CDA document. A CDA document can reflect the unauthenticated, authenticated, or legally authenticated state. The unauthenticated state exists when no authentication information has been recorded (i.e., it is the absence of being either authenticated or legally authenticated).","While electronic signatures are not captured in a CDA document, both authentication and legal authentication require that a document has been signed manually or electronically by the responsible individual. A legalAuthenticator has a required legalAuthenticator.time indicating the time of authentication, and a required legalAuthenticator.signatureCode, indicating that a signature has been obtained and is on file.","","","","","","","",,,,,"",,,,"ClinicalDocument.legalAuthenticator",0,1,"",""
"ClinicalDocument.authenticator","ClinicalDocument.authenticator","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/Authenticator {[CanonicalType[https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-cda-authenticator]]} {[]}
","Professionnel attestant la validité du document","Represents a participant who has attested to the accuracy of the document, but who does not have privileges to legally authenticate the document. An example would be a resident physician who sees a patient and dictates a note, then later signs it.","A clinical document can have zero to many authenticators. While electronic signatures are not captured in a CDA document, both authentication and legal authentication require that a document has been signed manually or electronically by the responsible individual. An authenticator has a required authenticator.time indicating the time of authentication, and a required authenticator.signatureCode, indicating that a signature has been obtained and is on file.","","","","","","","","",,,,,"",,,,"ClinicalDocument.authenticator",0,*,"",""
"ClinicalDocument.participant","ClinicalDocument.participant","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/Participant1 {[CanonicalType[https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-cda-participant-entete]]} {[]}
","Participant, différent de l'auteur, du responsable, de l'opérateur de saisie, de l'informateur ou du destinataire.","Used to represent other participants not explicitly mentioned by other classes, that were somehow involved in the documented acts.","","","","","","","","","",,,,,"",,,,"ClinicalDocument.participant",0,*,"",""
"ClinicalDocument.inFulfillmentOf","ClinicalDocument.inFulfillmentOf","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/InFulfillmentOf {[CanonicalType[https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-cda-inFulfillment-of]]} {[]}
","Prescription","","For instance, a provider orders an X-Ray. The X-Ray is performed. A radiologist reads the X-Ray and generates a report. The X-Ray order identifier is transmitted in the Order class, the performed X-Ray procedure is transmitted in the ServiceEvent class, and the ClinicalDocument.code would be valued with 'Diagnostic Imaging Report'.","","","","","","","","",,,,,"",,,,"ClinicalDocument.inFulfillmentOf",0,*,"",""
"ClinicalDocument.documentationOf","ClinicalDocument.documentationOf","","","",1,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/DocumentationOf {[CanonicalType[https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-cda-documentation-of]]} {[]}
","Evènement documenté et notamment le cadre d'exercice.","","In some cases, the ServiceEvent is inherent in the ClinicalDocument.code, such as where ClinicalDocument.code is 'History and Physical Report' and the procedure being documented is a 'History and Physical' act. A ServiceEvent can further specialize the act inherent in the ClinicalDocument.code, such as where the ClinicalDocument.code is simply 'Procedure Report' and the procedure was a 'colonoscopy'. If ServiceEvent is included, it must be equivalent to or further specialize the value inherent in the ClinicalDocument.code, and shall not conflict with the value inherent in the ClinicalDocument.code, as such a conflict would constitute an ambiguous situation.","","","","","","","","",,,,,"",,,,"ClinicalDocument.documentationOf",0,*,"",""
"ClinicalDocument.relatedDocument","ClinicalDocument.relatedDocument","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/RelatedDocument {[CanonicalType[https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-cda-related-document]]} {[]}
","Document de référence (à remplacer, transformé, …).","","","A conformant CDA document can have a single relatedDocument with typeCode 'APND'; a single relatedDocument with typeCode 'RPLC'; a single relatedDocument with typeCode 'XFRM'; a combination of two relatedDocuments with typeCodes 'XFRM' and 'RPLC'; or a combination of two relatedDocuments with typeCodes 'XFRM' and 'APND'. No other combinations are allowed.","","","","","","","",,,,,"",,,,"ClinicalDocument.relatedDocument",0,*,"",""
"ClinicalDocument.authorization","ClinicalDocument.authorization","","","",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/Authorization {[CanonicalType[https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-cda-authorization]]} {[]}
","Consentement associé au document.","","The type of consent (e.g. a consent to perform the related ServiceEvent, a consent for the information contained in the document to be released to a third party) is conveyed in Consent.code. Consents referenced in the CDA Header have been finalized (Consent.statusCode must equal 'completed') and should be on file.","","","","","","","","",,,,,"",,,,"ClinicalDocument.authorization",0,*,"",""
"ClinicalDocument.componentOf","ClinicalDocument.componentOf","","","",1,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/ComponentOf {[]} {[]}
","Prise en charge du patient/usager et notamment la date et le secteur d'activité.","This optional class represents the setting of the clinical encounter during which the documented act(s) or ServiceEvent occurred. Documents are not necessarily generated during an encounter, such as when a clinician, in response to an abnormal lab result, attempts to contact the patient but can't, and writes a Progress Note.","In some cases, the setting of the encounter is inherent in the ClinicalDocument.code, such as where ClinicalDocument.code is 'Diabetes Clinic Progress Note'. The setting of an encounter can also be transmitted in the HealthCareFacility.code attribute. If HealthCareFacility.code is sent, it should be equivalent to or further specialize the value inherent in the ClinicalDocument.code (such as where the ClinicalDocument.code is simply 'Clinic Progress Note' and the value of HealthCareFacility.code is 'cardiology clinic'), and shall not conflict with the value inherent in the ClinicalDocument.code, as such a conflict would constitute an ambiguous situation.","","","","","","","","",,,,,"",,,,"ClinicalDocument.componentOf",0,1,"",""
"ClinicalDocument.component","ClinicalDocument.component","","","",1,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/Component {[]} {[]}
","Body of the document","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.component",1,1,"",""
